parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
a_basal	a_basal	log10	-12	3	-1.175223538	1			
a_k8	a_k8	log10	-12	3	-1.563837353	1			
a_k5_k5k12	a_k5_k5k12	log10	-12	3	0.314288661	1			
a_k12_k5k12	a_k12_k5k12	log10	-12	3	-0.258139606	1			
a_k16_k12k16	a_k16_k12k16	log10	-12	3	-0.157453164	1			
a_k5k12_k5k8k12	a_k5k12_k5k8k12	log10	-12	3	-0.487715937	1			
a_k12k16_k8k12k16	a_k12k16_k8k12k16	log10	-12	3	0.343507062	1			
a_k8k12k16_4ac	a_k8k12k16_4ac	log10	-12	3	0.555300055	1			
d	d	log10	-12	3	0	0			
sigma	sigma	log10	-12	3	-1	1		
