observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
Naive		model1_data1	459.0	4		290	lin	normal
Naive		model1_data1	74.0	6		64	lin	normal
EarlyEffector		model1_data1	386.0	4		266	lin	normal
EarlyEffector		model1_data1	1172.0	6		526	lin	normal
EarlyEffector		model1_data1	47470.0	7		23855	lin	normal
EarlyEffector		model1_data1	175825.0	8		19722	lin	normal
EarlyEffector		model1_data1	4911.0	13		3048	lin	normal
EarlyEffector		model1_data1	7417.0	15		2924	lin	normal
EarlyEffector		model1_data1	3359.0	22		1540	lin	normal
LateEffector		model1_data1	888.0	6		182	lin	normal
LateEffector		model1_data1	4577.0	7		1976	lin	normal
LateEffector		model1_data1	32860.0	8		4105	lin	normal
LateEffector		model1_data1	46727.0	13		23601	lin	normal
LateEffector		model1_data1	27586.0	15		6841	lin	normal
LateEffector		model1_data1	13650.0	22		7266	lin	normal
LateEffector		model1_data1	3936.0	28		2705	lin	normal
Memory		model1_data1	289.0	8		80	lin	normal
Memory		model1_data1	9564.0	13		4206	lin	normal
Memory		model1_data1	15631.0	15		5745	lin	normal
Memory		model1_data1	41744.0	22		15987	lin	normal
Memory		model1_data1	32705.0	28		7909	lin	normal
