parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional)
AC_total	AC_{total}	log10	-5	3	0	0			
KD_Fsk	KD_{Fsk}	log10	-5	3	1.15474393586202	1			
KD_H89	KD_{H89}	log10	-5	3	-1.31808949485661	1			
KD_IBMX	KD_{IBMX}	log10	-5	3	1.07775923561723	1			
KD_PDE_Csub	KD_{PDE,Csub}	lin	-5	3	0	0			
KD_cAMP	KD_{cAMP}	log10	-5	3	0.454847938040645	1			
PDE_total	PDE_{total}	log10	-5	3	0	0			
RII2_total	RII2_{total}	log10	-5	3	0	0			
b_Calpha_global	b_{Calpha,global}	log10	-3	3	2.00716177922244	1			
b_pRII_global	b_{pRII,global}	log10	-3	3	1.99877559388378	1			
kdeg_cAMP	kdeg_{cAMP}	log10	-5	3	-4.99999713287468	1			
kdeg_cAMP_free	kdeg_{cAMP,free}	log10	-5	3	0.868270385817229	1			
kdp_AC	kdp_{AC}	lin	-5	3	0	0			
kf_Fsk	kf_{Fsk}	log10	-5	3	2.99999998188821	1			
kf_H89	kf_{H89}	log10	-5	3	-3.12917685684454	1			
kf_PDE_Csub	kf_{PDE,Csub}	lin	-5	3	0	0			
kf_RII_2__RII_C_2	kf_{RII_2,RII_C_2}	log10	-5	5	0.101905461824363	1			
kf_RII_C_2__RII_2	kf_{RII_C_2,RII_2}	log10	-5	3	-1.72707424745995	1			
kf_RII_C_2__RIIp_C_2	kf_{RII_C_2,RIIp_C_2}	log10	-5	3	-1.64267639876719	1			
kf_RIIp_2__RII_2	kf_{RIIp_2,RII_2}	log10	-5	3	-1.49077562472381	1			
kf_RIIp_C_2__RII_C_2	kf_{RIIp_C_2,RII_C_2}	log10	-5	3	-1.59000064686501	1			
kf_RIIp_cAMP_C_2__RIIp_2	kf_{RIIp_cAMP_C_2,RIIp_2}	log10	-5	3	-0.977638661277906	1			
kf_cAMP	kf_{cAMP}	log10	-5	3	-0.299692335380304	1			
ki_IBMX	ki_{IBMX}	log10	-5	3	2.99999999999977	1			
ki_Rp8_Br_cAMPS_pAB	ki_{Rp8,Br,cAMPS,pAB}	log10	-5	3	0.809263354180619	1			
ki_Rp8_pCPT_cAMPS_pAB	ki_{Rp8,pCPT,cAMPS,pAB}	log10	-5	3	0.972660017098506	1			
ki_Rp_cAMPS_pAB	ki_{Rp,cAMPS,pAB}	log10	-5	3	-1.78726421494166	1			
ki_Sp8_Br_cAMPS_AM	ki_{Sp8,Br,cAMPS,AM}	log10	-5	3	-0.880552954711397	1			
kp_AC	kp_{AC}	lin	-5	3	0	0			
ks_AC_cAMP	ks_{AC,cAMP}	log10	-5	3	-0.373505055793904	1			
rel_open	rel_{open}	log10	-5	0	-0.633232574522885	1			
s_Calpha_JI09_160201_Drg453_452_CycNuc	s_{Calpha,JI09,160201,Drg453,452,CycNuc}	log10	-5	3	0	0			
s_Calpha_global	s_{Calpha,global}	log10	3	3.5	3.24505716359886	1			
s_pRII_JI09_150302_Drg345_343_CycNuc	s_{pRII,JI09,150302,Drg345,343,CycNuc}	log10	-3	3	0.042574571459972	1			
s_pRII_JI09_150330_Drg350_348_CycNuc	s_{pRII,JI09,150330,Drg350,348,CycNuc}	log10	-3	3	-0.042511625560732	1			
s_pRII_JI09_150330_Drg353_351_CycNuc	s_{pRII,JI09,150330,Drg353,351,CycNuc}	log10	-3	3	-0.029417743563243	1			
s_pRII_JI09_151102_Drg421_418_Age	s_{pRII,JI09,151102,Drg421,418,Age}	log10	-3	3	0.02813631215484	1			
s_pRII_Western	s_{pRII,Western}	log10	-1	5	0.060130350777311	1			
s_pRII_global	s_{pRII,global}	log10	3	3.5	3.34375734202585	1			
rho_Calpha	\rho_{Calpha,Microscopy}	log10	-5	3	-1.30317913638385	1			
rho_pRII_Microscopy	\rho_{pRII,Microscopy}	log10	-5	3	-1.39056315385047	1			
rho_pRII_Western	\rho_{pRII,Western}	log10	-5	3	-1.00289777727342	1			
xi_AC_cAMP_Fsk	\xi_{AC_{cAMP,Fsk}	log10	-5	3	2.807785474863	1			
xi_KD_Rp8_Br_cAMPS	\xi_{KD,Rp8,Br,cAMPS}	log10	-5	5	-1.39834861613134	1			
xi_KD_Rp8_pCPT_cAMPS	\xi_{KD,Rp8,pCPT,cAMPS}	log10	-5	5	-0.71172187150487	1			
xi_KD_Rp_cAMPS	\xi_{KD,Rp,cAMPS}	log10	-5	5	-0.787686988214632	1			
xi_KD_Sp8_Br_cAMPS	\xi_{KD,Sp8,Br,cAMPS}	log10	-5	5	-0.651227470607688	1			
xi_b_Rp8_Br_cAMPS	\xi_{b,Rp8,Br,cAMPS}	log10	-5	5	-1.39190953673427	1			
xi_b_Rp8_pCPT_cAMPS	\xi_{b,Rp8,pCPT,cAMPS}	log10	-5	5	-1.57374147893794	1			
xi_b_Rp_cAMPS	\xi_{b,Rp,cAMPS}	log10	-5	5	-0.219014798438718	1			
xi_b_Sp8_Br_cAMPS	\xi_{b,Sp8,Br,cAMPS}	log10	-5	5	1.33475566381006	1			
xi_i_Rp8_Br_cAMPS_pAB	\xi_{i,Rp8,Br,cAMPS,pAB}	log10	-5	0	0	0			
xi_i_Rp8_pCPT_cAMPS_pAB	\xi_{i,Rp8,pCPT,cAMPS,pAB}	log10	-5	0	0	0			
xi_i_Rp_cAMPS_pAB	\xi_{i,Rp,cAMPS,pAB}	log10	-5	0	0	0			
xi_i_Sp8_Br_cAMPS_AM	\xi_{i,Sp8,Br,cAMPS,AM}	log10	-5	0	0	0			
xi_kf_RII_2__RII_C_2	\xi_{kf_RII_2,RII_C_2}	log10	-5	0	-1.7228264849033	1			
xi_kf_RII_C_2__RII_2	\xi_{kf_RII_C_2,RII_2}	log10	-5	5	-0.090983603795285	1			
xi_pAC	\xi_{pAC}	log10	-3	0	0	0			
xi_pPDE	\xi_{pPDE}	log10	0	3	0	0			
xi_rel_open	\xi_{rel,open}	log10	-5	0	-0.125272020006541	1			
